"scientific_name","family","1921","1922","1923","1925","1926","1928","1930","1934","1935","1991","1932","1945","1958","1968","1984","1995","2011","2014","2018","1933","1929","1979","1993","2015","2016","2017","1924","1914","1941","1942","1944","1952","1954","1957","1938","1943","1947","1950","1989","1905","1948","1960","1946","1937","1955","1956","1980","1908","1913","1927","1936","1940","1949","1951","1959","1961","1964","1982","1902","1931","1953","1983","2008","2009","1916","1966","1974","1912","1981","1994","1907","1920","1903","1963","1965","1969","1970","1977","1988","1992","1997","2013","1976","1978","1985","1987","1917","1918","1939","1990","1910","1906","1915","1962","1973","1900","1904","1909","1919","1971","1972","2005","2007","1911","1975","2006","2003","1996","2012"
"Agapostemon sericeus","Halictidae","1","1","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agapostemon splendens","Halictidae","1",,"1","1",,,,,,"1","1","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agapostemon texanus","Halictidae",,,,,,,,,,,"1",,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agapostemon virescens","Halictidae",,"1",,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena aliciae","Andrenidae","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena andrenoides","Andrenidae","1",,"1","1","1","1",,,,,,"1",,,,,,,,,"1",,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena arabis","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena asteris","Andrenidae","1",,,,,,,,"1",,,,,,,,,,,,,,,,,,,"1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena asteroides","Andrenidae",,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena atlantica","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena banksi","Andrenidae",,,,,,,,,,,,,,,,,,"1",,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena barbara","Andrenidae","1","1","1","1",,"1",,,"1",,,"1",,,,,,,,,,,,"1",,,"1","1",,,,,,,"1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena bisalicis","Andrenidae","1","1","1","1","1",,,"1",,,,"1",,,,,,,,,"1",,,,,,"1","1",,,,,,,,,,,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena bradleyi","Andrenidae",,"1","1","1",,,,,"1",,,"1",,,,,,,,,"1",,,,,,"1",,,,,,,,"1","1",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena carlini","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena carolina","Andrenidae",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena carolinensis","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena confederata","Andrenidae",,,"1",,"1",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,"1",,"1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena cornelli","Andrenidae",,,"1","1",,,,,,,,,,,,,,,,,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena cressonii","Andrenidae","1","1","1","1","1","1","1","1","1",,,"1",,,,,,"1",,"1","1",,,,,,"1",,"1","1","1",,"1",,"1","1","1","1",,,"1",,,,"1",,,"1","1","1","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena dunningi","Andrenidae",,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena erigeniae","Andrenidae",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrena erythrogaster","Andrenidae","1",,"1","1","1","1","1",,,,,"1",,,,,,,,,"1",,,,,,"1","1","1","1",,,"1",,,,,,,,"1",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
