"scientific_name","family","day","month","year","recorded_by","decimal_latitude","decimal_longitude","where_obtained_coordinates","n"
"Agapostemon sericeus","Halictidae","1","4","1934","D.L. ?",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","1","5","1921","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","11","7","1930","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","15","9","1923","T.B. Mitchell",35.65,-78.68333333,"google earth - McCullers, Garner",1
"Agapostemon sericeus","Halictidae","19","6","1935","D.L. ?",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","19","9","1922","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","2","5","1923","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","24","4","1925","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","24","6","1991","L. Garcia",35.93333333,-78.56666667,"google earth",1
"Agapostemon sericeus","Halictidae","28","6","1921","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","30","6","1921","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","4","5","1928","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","6","8","1926","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon sericeus","Halictidae","9","7","1935","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",2
"Agapostemon splendens","Halictidae","1","7","1921","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","10","9","1958","D.L. Wray",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","11","7","1945","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","12","7","1932","C.S. Brimley",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","13","4","1925","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","13","5","1932","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","15","6","2018","H. Levenson & assistants",35.725803,-78.675125,"dataset provided",1
"Agapostemon splendens","Halictidae","15","9","1921","T.B. Mitchell",35.76666667,-78.63333333,"google earth - Raleigh",1
"Agapostemon splendens","Halictidae","18","7","2014","A. Hamblin",35.794,-78.7,"dataset provided",2
