"scientific_name","decimal_latitude","decimal_longitude","where_obtained_coordinates","total_num_specimens"
"Agapostemon sericeus","35.65","-78.68333333","google earth - McCullers, Garner",1
"Agapostemon sericeus","35.76666667","-78.63333333","google earth - Raleigh",13
"Agapostemon sericeus","35.93333333","-78.56666667","google earth",1
"Agapostemon splendens","35.725803","-78.675125","dataset provided",1
"Agapostemon splendens","35.76666667","-78.51666667","dataset provided",1
"Agapostemon splendens","35.76666667","-78.63333333","google earth - Raleigh",26
"Agapostemon splendens","35.789845","-78.65063","dataset provided",1
"Agapostemon splendens","35.794","-78.7","dataset provided",2
"Agapostemon splendens","35.93333333","-78.56666667","google earth",1
"Agapostemon texanus","35.75","-78.51666667","google earth",2
"Agapostemon texanus","35.75","-78.53333333","google earth",1
"Agapostemon texanus","35.76666667","-78.63333333","google earth - Raleigh",2
"Agapostemon virescens","35.725803","-78.675125","dataset provided",49
"Agapostemon virescens","35.748","-78.687","dataset provided",17
"Agapostemon virescens","35.75","-78.66","dataset provided",3
"Agapostemon virescens","35.7502","-78.6605","dataset provided",3
"Agapostemon virescens","35.76666667","-78.63333333","google earth - Raleigh",10
"Agapostemon virescens","35.76813889","-78.66288757","dataset provided",1
"Agapostemon virescens","35.78333333","-78.68333333","google earth - 440 Gorman St",1
"Agapostemon virescens","35.789845","-78.65063","dataset provided",2
"Agapostemon virescens","35.794","-78.7","dataset provided",23
"Agapostemon virescens","35.797","-78.634","dataset provided",1
"Agapostemon virescens","35.812","-78.714","dataset provided",1
"Agapostemon virescens","35.816","-78.642","dataset provided",1
"Agapostemon virescens","35.848","-78.551","dataset provided",1
"Agapostemon virescens","35.926","-78.601","dataset provided",3
"Agapostemon virescens","35.927","-78.564","dataset provided",1
"Andrena aliciae","35.772","-78.639","dataset provided",1
"Andrena andrenoides","35.77194","-78.63889","dataset provided",2
"Andrena andrenoides","35.772","-78.639","dataset provided",1
"Andrena andrenoides","35.781","-78.639","dataset provided",17
"Andrena arabis","35.781","-78.639","dataset provided",2
"Andrena asteris","35.77194","-78.63889","dataset provided",1
"Andrena asteris","35.772","-78.639","dataset provided",14
"Andrena asteris","35.781","-78.639","dataset provided",3
"Andrena asteroides","35.79","-78.65","dataset provided",2
