"site","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1900",9,9,4,0.7037,3,0,0,0,0,1,0,0,0,0
"1902",8,9,6,0.7407,3,3,0,0,0,0,0,0,0,0
"1903",3,4,4,0.25,4,0,0,0,0,0,0,0,0,0
"1904",10,11,6,0.5694,5,0,0,0,0,1,0,0,0,0
"1905",11,12,11,0.183,10,1,0,0,0,0,0,0,0,0
"1906",8,15,12,0.4522,9,3,0,0,0,0,0,0,0,0
"1907",6,6,6,0.0741,6,0,0,0,0,0,0,0,0,0
"1908",7,9,7,0.5098,5,2,0,0,0,0,0,0,0,0
"1910",3,4,4,0.25,4,0,0,0,0,0,0,0,0,0
"1911",3,3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"1912",3,8,7,0.3571,6,1,0,0,0,0,0,0,0,0
"1913",8,21,16,0.3467,14,1,0,0,1,0,0,0,0,0
"1914",14,41,27,0.6101,17,7,2,1,0,0,0,0,0,0
"1916",3,3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"1917",9,14,12,0.2334,11,0,1,0,0,0,0,0,0,0
"1918",8,8,4,0.6719,3,0,0,0,1,0,0,0,0,0
"1919",4,4,3,0.625,2,1,0,0,0,0,0,0,0,0
"1920",9,13,11,0.3441,9,2,0,0,0,0,0,0,0,0
"1921",80,303,119,0.8106,58,24,12,6,5,6,4,1,1,0
"1922",67,305,104,0.8873,35,21,20,11,1,5,3,5,2,1
"1923",63,265,110,0.814,50,22,19,4,6,2,3,3,0,0
"1924",35,120,69,0.6753,40,18,7,2,0,1,0,0,1,0
"1925",36,188,90,0.7901,41,28,8,6,3,3,0,0,0,1
"1926",22,40,34,0.314,28,6,0,0,0,0,0,0,0,0
"1927",22,44,34,0.4218,26,6,2,0,0,0,0,0,0,0
"1928",26,64,43,0.5434,30,10,1,0,1,1,0,0,0,0
"1929",29,101,70,0.5365,48,17,2,2,1,0,0,0,0,0
"1930",17,20,18,0.1566,17,0,1,0,0,0,0,0,0,0
"1931",20,29,22,0.352,19,2,0,0,0,1,0,0,0,0
"1932",34,58,44,0.4017,35,5,3,1,0,0,0,0,0,0
"1933",26,50,38,0.3848,31,3,3,1,0,0,0,0,0,0
"1934",31,104,57,0.6704,35,11,5,2,2,1,0,1,0,0
"1935",30,60,47,0.3546,39,4,3,1,0,0,0,0,0,0
"1936",20,25,18,0.4963,13,4,0,1,0,0,0,0,0,0
"1937",28,48,35,0.4897,25,7,3,0,0,0,0,0,0,0
"1938",33,94,49,0.7205,27,12,5,1,3,0,0,0,1,0
"1939",10,14,11,0.3029,10,0,0,1,0,0,0,0,0,0
"1940",40,92,45,0.7772,21,10,8,3,3,0,0,0,0,0
"1941",50,105,63,0.6038,42,10,4,5,1,1,0,0,0,0
"1942",37,109,62,0.6467,39,9,9,3,0,1,1,0,0,0
"1943",18,47,29,0.7041,15,10,4,0,0,0,0,0,0,0
"1944",17,60,35,0.6493,22,8,1,2,1,1,0,0,0,0
"1945",63,331,111,0.8511,50,22,11,10,1,4,1,3,2,2
"1946",23,56,39,0.5529,26,11,1,0,1,0,0,0,0,0
"1947",16,32,19,0.7106,10,6,2,1,0,0,0,0,0,0
"1948",26,81,49,0.5861,34,6,5,0,4,0,0,0,0,0
"1949",24,40,29,0.5438,19,9,1,0,0,0,0,0,0,0
"1950",25,51,43,0.3038,36,6,1,0,0,0,0,0,0,0
"1951",16,69,53,0.37,44,4,4,0,1,0,0,0,0,0
"1952",22,44,34,0.3473,29,3,0,1,1,0,0,0,0,0
"1953",10,32,26,0.3704,21,4,1,0,0,0,0,0,0,0
"1954",36,101,61,0.6106,40,12,5,2,1,0,0,0,1,0
"1955",18,72,59,0.3817,46,13,0,0,0,0,0,0,0,0
