year,num_collection_events,bootstrap_iterations,seed_number,R(1),N(1),SE(N(1)),chi-square,df,prob,output_file_saved,notes
1900,9,200,54321,4,13,6.01,0,8,1,1900,
1902,8,200,54321,6,6,2.31,0.8596,7,0.9968,1902,
1903,3,200,54321,4,5,2.83,0.5,2,0.7788,1903,
1904,10,200,54321,6,23,8.88,0.1304,9,1,1904,
1905,11,200,54321,11,36,11.34,0.8475,10,0.9999,1905,
1906,8,200,54321,12,21,5.82,2.7576,7,0.9065,1906,
1907,6,200,54321,6,6,3.06,0,5,1,1907,
1908,8,200,54321,7,8,2.67,1.3125,7,0.9881,1908,
1909,2,,,,,,,,,,
1910,3,200,54321,4,5,2.83,0.5,2,0.7788,1910,
1911,3,200,54321,3,6,2.45,0,2,1,1911,
1912,3,200,54321,7,12,3.43,3.7143,2,0.1561,1912,
1913,8,200,54321,16,54,13.7,12.488,7,0.0856,1913,
1914,14,200,54321,27,46,9.26,23.1374,13,0.0401,1914,
1915,3,200,54321,4,5,2.83,0.5,2,0.7788,1915,
1916,3,200,54321,3,6,2.45,0,2,1,1916,
1917,9,200,54321,12,51,12.95,6.9434,8,0.5428,1917,
1918,8,200,54321,4,13,5.74,0,7,1,1918,
1919,4,200,54321,3,5,1.67,0,3,1,1919,
1920,9,200,54321,11,23,7.15,3.04,8,0.9318,1920,
1921,82,200,54321,119,208,25.43,402.5127,81,0,1921,
1922,69,200,54321,104,138,13.88,320.8633,68,0,1922,
1923,63,200,54321,,,110,199,41.41,390.6793,1923,
1924,35,200,54321,69,123,17.16,90.4386,34,0,1924,
1925,36,200,54321,90,129,12.68,242.0701,35,0,1925,
1926,22,200,54321,34,90,18.77,38.6522,21,0.0108,1926,
1927,22,200,54321,34,88,19.65,23.6133,21,0.3122,1927,
1928,26,200,54321,43,88,15.42,48.8189,25,0.003,1928,
1929,30,200,54321,70,144,20.47,88.5527,29,0,1929,
1930,17,200,54321,18,92,19.82,2.1404,16,1,1930,
1931,20,200,54321,22,79,20.13,18.3385,19,0.4999,1931,
1932,34,200,54321,44,161,35.71,52.1238,33,0.0184,1932,
1933,26,200,54321,38,157,33.26,48.5585,25,0.0032,1933,
1934,31,200,54321,57,118,21.12,93.2257,31,0,1934,had to add an additional column with 0's to it for website to run
1935,31,200,54321,47,196,38.26,89.0187,31,0,1935,had to add an additional column with 0's to it for website to run
1936,20,200,54321,18,35,8.67,9.8132,19,0.9574,1936,
1937,28,200,54321,35,79,17.45,21.3608,27,0.07691,1937,
1938,33,200,54321,49,83,13.26,77.506,32,0,1938,
1939,10,200,54321,11,44,12.51,3.4737,9,0.9425,1939,
1940,40,200,54321,45,68,10.94,116.8178,39,0,1940,
1941,50,200,54321,63,155,27.7,72.8962,49,0.015,1941,
1942,37,200,54321,62,192,45.47,118.7885,36,0,1942,
1943,18,200,54321,29,41,5.86,39.8318,17,0.0014,1943,
1944,17,200,54321,35,64,11.89,25.2593,16,0.0654,1944,
1945,63,200,54321,111,183,21.52,312.8242,62,0,1945,
1946,23,200,54321,39,72,12.77,57.973,22,0,1946,
1947,16,200,54321,19,26,4.72,31.3514,15,0.0079,1947,
