year,num_total_collection_events,bootstrap_iterations,seed_number,R(1),N(1),SE(N(1)),chi-square,df,prob,output_file_saved
1900,9,200,54321,4,14,6.11,0.1818,8,1,1900
1903,1,,,,,,,,,
1904,8,200,54321,4,13,5.68,1.4848,7,0.9828,1904
1905,2,,,,,,,,,
1908,2,,,,,,,,,
1910,1,,,,,,,,,
1912,1,,,,,,,,,
1913,5,200,54321,9,21,5.91,14.5882,4,0.0056,1913
1914,2,,,,,,,,,
1915,1,,,,,,,,,
1916,1,,,,,,,,,
1917,3,200,54321,7,12,3.43,2,2,0.3679,1917
1918,1,,,,,,,,,
1919,1,,,,,,,,,
1920,6,200,54321,7,15,5.37,1.0526,5,0.9582,1920
1921,19,200,54321,34,69,13.61,150.1649,18,0,1921
1922,5,200,54321,15,33,7.65,14.303,4,0.0064,1922
1923,10,200,54321,23,71,16.88,55.35,9,0,1923
1924,6,200,54321,7,15,5.37,1.0526,5,0.9582,1924
1925,7,200,54321,8,9,2.63,1.8182,6,0.9356,1925
1927,6,200,54321,5,8,3.18,0,5,1,1927
1928,1,,,,,,,,,
1929,7,200,54321,20,50,11.54,15.6522,6,0.0157,1929
1930,7,200,54321,7,25,8.33,1.25,6,0.9743,1930
1931,5,200,54321,4,10,4.23,0.8889,4,0.9261,1931
1932,4,200,54321,5,7,4.33,0.06,3,0.8964,1932
1933,4,200,54321,4,5,3.87,0,3,1,1933
1934,5,200,54321,4,10,4.23,0.8889,4,0.9261,1934
1935,1,,,,,,,,,
1936,1,,,,,,,,,
1937,3,200,54321,8,10,2.6,4,2,0.1353,1937
1938,2,,,,,,,,,
1939,1,,,,,,,,,
1940,9,200,54321,8,11,3.36,6.7273,8,0.5663,1940
1941,6,200,54321,12,25,7.05,15.1429,5,0.0098,1941
1942,5,200,54321,11,29,7.72,6.6087,4,0.1581,1942
1943,3,200,54321,3,4,1.52,1,2,0.6065,1943
1944,9,200,54321,16,46,12.97,12.2105,8,0.1421,1944
1945,5,200,54321,11,29,7.39,7.5,4,0.1117,1945
1946,1,,,,,,,,,
1947,2,,,,,,,,,
1948,3,200,54321,5,5,2.43,1.6,2,0.4493,1948
1949,6,200,54321,9,30,8.44,7.8571,5,0.01643,1949
1950,1,,,,,,,,,
1951,2,,,,,,,,,
1952,4,200,54321,6,9,4.74,2,3,0.5724,1952
1954,8,200,54321,18,52,12.76,39.731,7,0,1954
1955,1,,,,,,,,,
1956,2,,,,,,,,,
1957,11,200,54321,20,30,6.09,19.5,10,0.0344,1957
1958,8,200,54321,16,56,13.98,8.008,7,0.3319,1958
1959,7,200,54321,8,13,4.09,1.2857,6,0.9724,1959
1960,2,,,,,,,,,
1961,14,200,54321,17,70,18.59,11.1429,13,0.5958,1961
1962,2,,,,,,,,,
1963,4,200,54321,6,12,3.79,1.7368,3,0.6288,1963
1965,12,200,54321,7,7,2.41,1.6667,11,0.9994,1965
1966,1,,,,,,,,,
1968,9,200,54321,3,4,1.36,0,8,1,1968
1970,3,200,54321,6,10,3.06,1.3333,2,0.5134,1970
1971,1,,,,,,,,,
1972,7,200,54321,3,3,3,4,6,0.6767,1972
1973,1,,,,,,,,,
1977,2,,,,,,,,,
1978,5,200,54321,5,8,3.1,0.7273,4,0.9479,1978
1979,10,200,54321,4,6,1.94,0,9,1,1979
1980,10,200,54321,5,7,1.94,1.8,9,0.9942,1980
1981,5,200,54321,3,6,2.42,1.3333,4,0.8557,1981
1982,1,,,,,,,,,
1985,2,,,,,,,,,
1987,2,,,,,,,,,
1988,2,,,,,,,,,
1990,4,200,54321,3,5,1.67,0,3,1,1990
1992,2,,,,,,,,,
1993,4,200,54321,4,5,2.21,0.6923,3,0.875,1993
1994,7,200,54321,8,13,9.39,0.75,6,0.9933,1994
1997,5,200,54321,6,7,2.56,2.2857,4,0.6834,1997
2003,1,,,,,,,,,
2007,1,,,,,,,,,
2008,1,,,,,,,,,
2009,2,,,,,,,,,
2013,5,200,54321,6,6,2.15,4,4,0.406,2013
2014,5,200,54321,5,8,3.1,0.7273,4,0,2014
2016,8,200,54321,8,27,9.47,12.6,7,0.0825,2016
2017,7,200,54321,8,8,2.28,11.027,6,0.0875,2017
2018,18,200,54321,7,17,6.63,13.7971,17,0.6814,2018
