year,num_total_collection_events,bootstrap_iterations,seed_number,R(1),N(1),SE(N(1)),chi-square,df,prob,output_file_saved,notes
1902,4,200,54321,3,5,1.67,0,3,1,1902,
1905,8,200,54321,7,15,5.63,0,7,1,1905,
1906,1,,,,,,,,,,
1907,2,,,,,,,,,,
1908,5,200,54321,5,8,3.1,0.7273,4,0.9479,1908,
1909,1,,,,,,,,,,
1913,3,200,54321,7,14,3.74,1.1429,2,0.5647,1913,
1914,10,200,54321,21,31,6.06,16.1333,9,0.0641,1914,
1917,2,,,,,,,,,,
1918,2,,,,,,,,,,
1921,35,200,54321,74,238,49.56,204.1767,34,0,1921,
1922,37,200,54321,73,98,9.95,213.8817,36,0,1922,
1923,38,200,54321,83,229,57.23,247.0386,37,0,1923,
1924,23,200,54321,52,91,14.33,66.1409,22,0,1924,
1925,21,200,54321,7,129,16.3,129.8477,20,0,1925,
1926,10,200,54321,21,42,9.69,22.6607,9,0.007,1926,
1927,11,200,54321,24,53,11.89,12.7857,10,0.2359,1927,
1928,15,200,54321,29,84,19.72,40.4264,14,0.0002,1928,
1929,15,200,54321,50,137,24.41,44.6636,14,0,1929,
1930,4,200,54321,4,5,3.87,0,3,1,1930,
1931,7,200,54321,8,13,9.39,0.75,6,0.9933,1931,
1932,13,200,54321,24,77,18.23,36.7547,12,0.0002,1932,
1933,15,200,54321,25,60,14.78,37.1949,14,0.0007,1933,
1934,19,200,54321,49,93,15.72,49.604,18,0.0001,1934,
1935,17,200,54321,35,132,27.42,56.6265,16,0,1935,
1936,13,200,54321,15,32,8.84,8.2286,12,0.767,1936,
1937,22,200,54321,24,81,21.91,8.2607,21,0.9939,1937,
1938,29,200,54321,45,73,11.96,69.5795,28,0,1938,
1939,9,200,54321,10,38,11.36,3.3043,8,0.9138,1939,
1940,28,200,54321,35,49,8.76,93.7917,27,0,1940,
1941,36,200,54321,41,82,16.2,38.5076,35,0.3138,1941,
1942,31,200,54321,51,126,31.67,116.0853,31,0,1942,had to add an additional column with 0's to it for website to run
1943,12,200,54321,25,37,6.28,27.4861,11,0.0039,1943,
1944,7,200,54321,23,58,12.66,11.1429,6,0.0841,1944,
1945,38,200,54321,89,123,12.48,258.8966,37,0,1945,
1946,18,200,54321,28,52,10.7,48.2572,17,0.0001,1946,
1947,10,200,54321,15,21,4.52,26.5055,9,0.0017,1947,
1948,16,200,54321,41,136,31.18,38.5045,15,0.0008,1948,
1949,7,200,54321,11,23,6.93,3.8919,6,0.6913,1949,
1950,16,200,54321,29,66,14.07,25.4678,15,0.044,1950,
1951,12,200,54321,39,142,27.21,46.4567,11,0,1951,
1952,11,200,54321,18,62,15.77,16.8142,10,0.0786,1952,
1953,7,200,54321,23,49,10.65,19.1392,6,0.0039,1953,
1954,10,200,54321,31,90,19.28,49.8232,9,0,1954,
1955,12,200,54321,41,152,27.57,124.2074,11,0,1955,
1956,10,200,54321,29,62,13.35,29.422,9,0.0005,1956,
1957,12,200,54321,39,69,11.83,86.1501,11,0,1957,
1958,8,200,54321,19,40,9.67,20.817,7,0.0041,1958,
1959,8,200,54321,26,60,12.96,27.3163,7,0.0003,1959,
1960,15,200,54321,60,165,33.83,111.2211,14,0,1960,
1961,14,200,54321,29,51,10.06,21.7395,13,0.0595,1961,
1962,1,,,,,,,,,,
1964,5,200,54321,6,16,5.53,0.6667,4,0.9554,1964,
1965,5,200,54321,5,5,2.86,0,4,1,1965,
1966,2,,,,,,,,,,
1968,2,,,,,,,,,,
1970,1,,,,,,,,,,
1972,1,,,,,,,,,,
1973,1,,,,,,,,,,
1974,1,,,,,,,,,,
1975,1,,,,,,,,,,
1976,2,,,,,,,,,,
1977,2,,,,,,,,,,
1978,1,,,,,,,,,,
1979,3,200,54321,3,6,2.45,0,2,1,1979,
1980,11,200,54321,12,55,14.18,1.791,10,0.9977,1980,
1981,3,200,54321,3,6,2.45,0,2,1,1981,
1982,4,200,54321,6,9,4.74,2,3,0.5724,1982,
1983,3,200,54321,4,5,2.83,0.5,2,0.7788,1983,
1984,2,,,,,,,,,,
1985,3,200,54321,3,6,2.45,0,2,1,1985,
1987,1,,,,,,,,,,
1988,2,,,,,,,,,,
1989,6,200,54321,14,23,5.64,9.5122,5,0.0903,1989,
1990,1,,,,,,,,,,
1991,5,200,54321,3,4,1.24,1,4,0.9098,1991,
1994,3,200,54321,3,6,2.45,0,2,1,1994,
1995,9,200,54321,6,6,2.35,1.5556,8,0.9917,1995,
2005,2,,,,,,,,,,
2006,2,,,,,,,,,,
2008,2,,,,,,,,,,
2009,5,200,54321,14,37,8.52,5.7333,4,0.22,2009,
2011,1,,,,,,,,,,
2012,1,,,,,,,,,,
2014,14,200,54321,39,107,22.63,19.7046,13,0.1028,2014,
2015,22,200,54321,54,134,26.24,86.6605,21,0,2015,
2016,4,200,54321,6,7,2.48,7.2,3,0.0658,2016,
2017,17,200,54321,15,27,6.99,14.2041,16,0.5835,2017,
2018,17,200,54321,9,13,4.42,7.3203,16,0.9666,2018,
