year,num_total_collection_events,bootstrap_iterations,seed_number,R(1),N(1),SE(N(1)),chi-square,df,prob,output_file_saved
1902,4,200,54321,3,4,1.17,0.8182,3,0.8451,1902
1903,2,,,,,,,,,
1904,2,,,,,,,,,
1905,1,,,,,,,,,
1906,7,200,54321,11,18,4.93,2.1538,6,0.905,1906
1907,4,200,54321,4,5,3.87,0,3,1,1907
1908,1,,,,,,,,,
1909,1,,,,,,,,,
1910,2,,,,,,,,,
1911,3,200,54321,3,6,2.45,0,2,1,1911
1912,2,,,,,,,,,
1914,2,,,,,,,,,
1915,2,,,,,,,,,
1916,1,,,,,,,,,
1917,4,200,54321,4,5,3.87,0,3,1,1917
1918,5,200,54321,3,7,2.86,0,4,1,1918
1919,3,200,54321,2,3,1.07,0,2,1,1919
1920,3,200,54321,5,5,2.43,1.6,2,0.4493,1920
1921,28,200,54321,37,52,6.59,80.7305,27,0,1921
1922,26,200,54321,47,67,8.95,74.2152,25,0,1922
1923,15,200,54321,24,94,23.16,18.7129,14,0.1762,1923
1924,6,200,54321,17,49,11.37,4.2308,5,0.5167,1924
1925,7,200,54321,16,46,11.51,37.7455,6,0,1925
1926,12,200,54321,14,25,10.68,1.4286,11,0.9997,1926
1927,5,200,54321,9,14,4.68,1.5556,4,0.8168,1927
1928,10,200,54321,18,65,16.02,6.6522,9,0.6733,1928
1929,7,200,54321,8,20,6.72,2.7692,6,0.8372,1929
1930,6,200,54321,7,7,3.32,0.7143,5,0.9822,1930
1931,8,200,54321,13,32,9.05,11.5743,7,0.1155,1931
1932,17,200,54321,21,58,15.68,5.5446,16,0.9923,1932
1933,7,200,54321,10,28,8.48,2.6,6,0.8571,1933
1934,6,200,54321,9,24,6.94,4.6154,5,0.4646,1934
1935,13,200,54321,11,24,7.39,0,12,1,1935
1936,6,200,54321,4,6,1.81,0,5,1,1936
1937,3,200,54321,6,12,3.46,0,2,1,1937
1938,2,,,,,,,,,
1940,3,200,54321,4,5,2.83,0.5,2,0.7788,1940
1941,8,200,54321,15,37,9.9,17.1613,7,0.0164,1941
1943,3,200,54321,3,6,2.45,0,2,1,1943
1944,1,,,,,,,,,
1945,19,200,54321,16,19,3.05,118.9864,18,0,1945
1946,3,200,54321,7,12,3.43,7.1429,2,0.0281,1946
1947,4,200,54321,5,7,1.66,1.3333,3,0.7212,1947
1948,7,200,54321,7,12,4.45,3,6,0.8088,1948
1949,11,200,54321,14,37,10.5,4.7436,10,0.9076,1949
1950,10,200,54321,16,28,15.87,9,9,0.4373,1950
1951,2,,,,,,,,,
1952,6,200,54321,11,18,6.23,7,5,0.2206,1952
1953,3,200,54321,4,5,2.83,0.5,2,0.7788,1953
1954,18,200,54321,24,51,11.57,22.9272,17,0.1516,1954
1955,5,200,54321,25,72,12.01,69.1765,4,0,1955
1956,5,200,54321,7,7,3.71,2.2857,4,0.6834,1956
1957,7,200,54321,34,91,16.68,30.1053,6,0,1957
1958,9,200,54321,16,28,6.73,8.9877,8,0.3433,1958
1959,9,200,54321,23,92,17.41,95.8447,8,0,1959
1960,6,200,54321,20,66,12.6,16.4953,5,0.0056,1960
1961,3,200,54321,3,6,2.45,0,2,1,1961
1962,1,,,,,,,,,
1963,2,,,,,,,,,
1964,3,200,54321,2,3,1.07,0,2,1,1964
1965,5,200,54321,6,12,4.09,2.4615,4,0.6515,1965
1966,2,,,,,,,,,
1968,6,200,54321,4,6,1.81,0,5,1,1968
1969,2,,,,,,,,,
1970,2,,,,,,,,,
1971,1,,,,,,,,,
1972,1,,,,,,,,,
1975,1,,,,,,,,,
1976,2,,,,,,,,,
1978,7,200,54321,7,8,2.65,10.0714,6,0.1217,1978
1980,14,200,54321,12,25,7.9,1.5758,13,0.9999,1980
1981,7,200,54321,5,7,1.85,0.8571,6,0.9905,1981
1982,1,,,,,,,,,
1984,4,200,54321,4,5,3.87,0,3,1,1984
1985,10,200,54321,7,12,4.39,1.6744,9,0.9956,1985
1988,2,,,,,,,,,
1989,2,,,,,,,,,
1990,2,,,,,,,,,
1991,4,200,54321,9,17,4.47,1.9655,3,0.5796,1991
1993,1,,,,,,,,,
1994,5,200,54321,5,8,3.1,0.7273,4,0.9479,1994
1995,2,,,,,,,,,
1996,1,,,,,,,,,
1997,7,200,54321,6,6,2.28,1.2,6,0.9769,1997
2006,2,,,,,,,,,
2008,12,200,54321,23,34,6.83,27.5524,11,0.0038,2008
2009,13,200,54321,25,91,20.51,36.661,12,0.0003,2009
2011,1,,,,,,,,,
2013,1,,,,,,,,,
2014,43,200,54321,53,86,14.69,129.9636,42,0,2014
2015,35,200,54321,55,67,5.87,229.7178,34,0,2015
2016,20,200,54321,31,44,6.39,101.3801,19,0,2016
2017,24,200,54321,16,19,3.65,75.1877,23,0,2017
2018,24,200,54321,18,20,3.22,107.9197,23,0,2018
